alert_id,cluster_id,severity,status,evidence_confidence,suppressed,suppression_reason,risk_score,risk_level,classification_label,classification_score,false_alarm_indicator,detection_reliability,observation_count,active_days,persistence_category,max_frp,max_bright_ti4,bt_diff_max,movement_direction,movement_bearing_degrees,movement_rate_km_per_day,movement_pattern,latitude,longitude,nearest_station_name,station_distance_km,station_available,reasons,alert_rationale,created_at,updated_at,is_decision_support_only
TAL-01324,1324,LOW,ACTIVE,LOW,True,High false-alarm concern with weak evidence confidence: thermal anomaly retained for monitoring but suppressed as an operator alert.,6.0,LOW,Unknown / Insufficient Evidence,0.0,HIGH,LOW,2,1,isolated,1.57,304.88,14.11,,,0.0,insufficient_evidence,15.07089,76.8658,Ballari Fire Station,10.63,True,"High false-alarm concern; Verified fire station nearby: Ballari Fire Station (10.6 km); Suppressed for monitoring (high false-alarm concern, weak evidence)","Decision-support thermal anomaly alert. High false-alarm concern; Verified fire station nearby: Ballari Fire Station (10.6 km); Suppressed for monitoring (high false-alarm concern, weak evidence). Does not constitute a confirmed fire declaration.",2026-09-03T17:19:59+00:00,2026-09-03T17:19:59+00:00,True
TAL-01325,1325,MEDIUM,ACTIVE,HIGH,False,,56.0,MEDIUM,Agricultural-context thermal event,0.55,LOW,HIGH,8,2,short_lived_repeated,6.03,335.92,47.54,S,170.57,1.312,directional,10.08811,77.23672,"Firea and Rescue Station, Nedumkandam",29.19,True,"Risk score 56/100 (MEDIUM risk); Low false-alarm concern; High evidence reliability; Recurring thermal activity (2 active days); Peak thermal intensity / high spectral contrast; Agricultural-context event; Thermal activity movement S (confidence PRELIMINARY); Verified fire station nearby: Firea and Rescue Station, Nedumkandam (29.2 km)","Decision-support thermal anomaly alert. Risk score 56/100 (MEDIUM risk); Low false-alarm concern; High evidence reliability; Recurring thermal activity (2 active days); Peak thermal intensity / high spectral contrast; Agricultural-context event; Thermal activity movement S (confidence PRELIMINARY); Verified fire station nearby: Firea and Rescue Station, Nedumkandam (29.2 km). Does not constitute a confirmed fire declaration.",2026-09-03T17:19:59+00:00,2026-09-03T17:19:59+00:00,True
TAL-01326,1326,HIGH,ACTIVE,HIGH,False,,73.0,HIGH,Forest/Natural-context thermal event,0.55,LOW,HIGH,13,2,short_lived_repeated,4.27,338.27,58.95,SW,214.82,0.899,directional,10.24553,77.21735,"Fire and Rescue Station, Adimali",38.03,True,"Risk score 73/100 (HIGH risk); Low false-alarm concern; High evidence reliability; Recurring thermal activity (2 active days); Peak thermal intensity / high spectral contrast; Forest/Natural-context event; Thermal activity movement SW (confidence PRELIMINARY); Verified fire station nearby: Fire and Rescue Station, Adimali (38.0 km)","Decision-support thermal anomaly alert. Risk score 73/100 (HIGH risk); Low false-alarm concern; High evidence reliability; Recurring thermal activity (2 active days); Peak thermal intensity / high spectral contrast; Forest/Natural-context event; Thermal activity movement SW (confidence PRELIMINARY); Verified fire station nearby: Fire and Rescue Station, Adimali (38.0 km). Does not constitute a confirmed fire declaration.",2026-09-03T17:19:59+00:00,2026-09-03T17:19:59+00:00,True
TAL-01327,1327,MEDIUM,ACTIVE,HIGH,False,,50.0,MEDIUM,Industrial-context thermal event,0.8,LOW,HIGH,6,4,short_lived_repeated,2.75,308.92,14.49,,,0.019,stationary,23.31522,70.48711,,,False,Risk score 50/100 (MEDIUM risk); Low false-alarm concern; High evidence reliability; Persistent multi-day thermal activity (4 active days); Industrial context detected (score 0.80),Decision-support thermal anomaly alert. Risk score 50/100 (MEDIUM risk); Low false-alarm concern; High evidence reliability; Persistent multi-day thermal activity (4 active days); Industrial context detected (score 0.80). Does not constitute a confirmed fire declaration.,2026-09-03T17:19:59+00:00,2026-09-03T17:19:59+00:00,True
TAL-01328,1328,LOW,ACTIVE,HIGH,False,,21.0,LOW,Industrial-context thermal event,0.65,LOW,HIGH,4,3,short_lived_repeated,1.44,311.44,18.58,,,0.063,stationary,24.93387,74.63351,,,False,Low false-alarm concern; High evidence reliability; Recurring thermal activity (3 active days); Industrial context detected (score 0.65),Decision-support thermal anomaly alert. Low false-alarm concern; High evidence reliability; Recurring thermal activity (3 active days); Industrial context detected (score 0.65). Does not constitute a confirmed fire declaration.,2026-09-03T17:19:59+00:00,2026-09-03T17:19:59+00:00,True
TAL-01329,1329,LOW,ACTIVE,LOW,True,High false-alarm concern with weak evidence confidence: thermal anomaly retained for monitoring but suppressed as an operator alert.,6.0,LOW,Unknown / Insufficient Evidence,0.0,HIGH,LOW,1,1,isolated,0.72,305.83,14.6,,,0.0,insufficient_evidence,26.60544,73.68332,,,False,"High false-alarm concern; Single observation (no temporal recurrence); Suppressed for monitoring (high false-alarm concern, weak evidence)","Decision-support thermal anomaly alert. High false-alarm concern; Single observation (no temporal recurrence); Suppressed for monitoring (high false-alarm concern, weak evidence). Does not constitute a confirmed fire declaration.",2026-09-03T17:19:59+00:00,2026-09-03T17:19:59+00:00,True
TAL-01330,1330,LOW,ACTIVE,LOW,True,High false-alarm concern with weak evidence confidence: thermal anomaly retained for monitoring but suppressed as an operator alert.,9.0,LOW,Unknown / Insufficient Evidence,0.0,HIGH,LOW,1,1,isolated,2.46,306.6,16.29,,,0.0,insufficient_evidence,16.87272,80.02097,Fire station (unnamed),0.32,True,"High false-alarm concern; Single observation (no temporal recurrence); Verified fire station nearby: Fire station (unnamed) (0.3 km); Suppressed for monitoring (high false-alarm concern, weak evidence)","Decision-support thermal anomaly alert. High false-alarm concern; Single observation (no temporal recurrence); Verified fire station nearby: Fire station (unnamed) (0.3 km); Suppressed for monitoring (high false-alarm concern, weak evidence). Does not constitute a confirmed fire declaration.",2026-09-03T17:19:59+00:00,2026-09-03T17:19:59+00:00,True
TAL-01331,1331,LOW,ACTIVE,LOW,True,High false-alarm concern with weak evidence confidence: thermal anomaly retained for monitoring but suppressed as an operator alert.,6.0,LOW,Unknown / Insufficient Evidence,0.0,HIGH,LOW,1,1,isolated,0.63,307.97,18.19,,,0.0,insufficient_evidence,17.29276,78.40978,Rajiv Gandhi International Airport ARFF Main Station,7.54,True,"High false-alarm concern; Single observation (no temporal recurrence); Verified fire station nearby: Rajiv Gandhi International Airport ARFF Main Station (7.5 km); Suppressed for monitoring (high false-alarm concern, weak evidence)","Decision-support thermal anomaly alert. High false-alarm concern; Single observation (no temporal recurrence); Verified fire station nearby: Rajiv Gandhi International Airport ARFF Main Station (7.5 km); Suppressed for monitoring (high false-alarm concern, weak evidence). Does not constitute a confirmed fire declaration.",2026-09-03T17:19:59+00:00,2026-09-03T17:19:59+00:00,True
TAL-01332,1332,LOW,ACTIVE,LOW,True,High false-alarm concern with weak evidence confidence: thermal anomaly retained for monitoring but suppressed as an operator alert.,6.0,LOW,Unknown / Insufficient Evidence,0.0,HIGH,LOW,1,1,isolated,1.08,303.3,12.77,,,0.0,insufficient_evidence,17.37239,77.44447,fire station,38.75,True,"High false-alarm concern; Single observation (no temporal recurrence); Verified fire station nearby: fire station (38.8 km); Suppressed for monitoring (high false-alarm concern, weak evidence)","Decision-support thermal anomaly alert. High false-alarm concern; Single observation (no temporal recurrence); Verified fire station nearby: fire station (38.8 km); Suppressed for monitoring (high false-alarm concern, weak evidence). Does not constitute a confirmed fire declaration.",2026-09-03T17:19:59+00:00,2026-09-03T17:19:59+00:00,True
TAL-01333,1333,LOW,ACTIVE,MODERATE,False,,22.1,LOW,Unknown / Insufficient Evidence,0.0,MEDIUM,MEDIUM,2,1,isolated,2.05,328.2,44.84,,,0.0,insufficient_evidence,9.24839,77.32437,Surandai Fire Station,32.61,True,Verified fire station nearby: Surandai Fire Station (32.6 km),Decision-support thermal anomaly alert. Verified fire station nearby: Surandai Fire Station (32.6 km). Does not constitute a confirmed fire declaration.,2026-09-03T17:19:59+00:00,2026-09-03T17:19:59+00:00,True
