cluster_id,observation_count,active_days,first_detection,last_detection,duration_days,mean_bright_ti4,max_bright_ti4,mean_bright_ti5,max_bright_ti5,mean_frp,max_frp,mean_confidence,persistence_score,persistence_category,bt_diff_mean,bt_diff_max,frp_mean_to_max_ratio,frp_per_observation,detection_density,active_day_ratio,is_multi_day,is_persistent_candidate,persistence_category_code,anomaly_score,anomaly_flag,abnormality_level,anomaly_characterization,explanation,contributing_factors
1115,28,2,2026-08-19,2026-08-20,2,316.604,342.47,289.023,290.15,3.576,8.27,2.0,0.0667,short_lived_repeated,27.581,52.32,0.4324,0.1277,14.0,1.0,1,0,1,0.1012,1,HIGH,SHORT_LIVED_EXTREME_EVENT,High abnormality primarily associated with elevated thermal intensity.,"max_bright_ti4,bt_diff_max"
1116,1,1,2026-08-19,2026-08-19,1,315.65,315.65,290.81,290.81,2.26,2.26,2.0,0.0333,isolated,24.84,24.84,1.0,2.26,1.0,1.0,0,0,0,-0.2001,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
1117,3,1,2026-08-19,2026-08-19,1,310.46,313.09,288.953,289.72,3.957,5.2,2.0,0.0333,isolated,21.507,23.37,0.761,1.319,3.0,1.0,0,0,0,-0.1127,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
1118,1,1,2026-08-19,2026-08-19,1,304.83,304.83,289.36,289.36,1.05,1.05,2.0,0.0333,isolated,15.47,15.47,1.0,1.05,1.0,1.0,0,0,0,-0.1872,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
1119,8,2,2026-08-19,2026-08-22,4,308.008,322.16,287.195,290.98,1.469,2.25,2.0,0.0667,short_lived_repeated,20.813,31.18,0.6529,0.1836,2.0,0.5,1,0,1,-0.0526,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
1120,4,1,2026-08-19,2026-08-19,1,307.858,310.25,289.88,290.37,2.135,2.71,2.0,0.0333,isolated,17.978,19.88,0.7878,0.5337,4.0,1.0,0,0,0,-0.0912,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
1121,7,3,2026-08-19,2026-08-23,5,310.82,313.71,286.044,291.41,2.309,3.45,2.0,0.1,short_lived_repeated,24.776,22.3,0.6693,0.3299,1.4,0.6,1,0,1,-0.0525,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
1122,1,1,2026-08-19,2026-08-19,1,301.37,301.37,287.23,287.23,0.59,0.59,2.0,0.0333,isolated,14.14,14.14,1.0,0.59,1.0,1.0,0,0,0,-0.1644,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
1123,2,2,2026-08-19,2026-08-22,4,300.185,304.05,281.125,289.31,0.76,1.02,2.0,0.0667,short_lived_repeated,19.06,14.74,0.7451,0.38,0.5,0.5,1,0,1,-0.0459,0,ELEVATED,STATISTICAL_ANOMALY,Elevated abnormality primarily associated with unusual multi-variate statistical signature.,multivariate_combination
1124,13,4,2026-08-19,2026-08-24,6,307.665,313.65,283.428,291.33,1.453,2.41,2.0,0.1333,short_lived_repeated,24.237,22.32,0.6029,0.1118,2.1667,0.6667,1,0,1,-0.0041,0,ELEVATED,PERSISTENT_THERMAL_ACTIVITY,Elevated abnormality primarily associated with persistent multi-day activity.,active_days
