cluster_id,observation_count,active_days,first_detection,last_detection,duration_days,mean_bright_ti4,max_bright_ti4,mean_bright_ti5,max_bright_ti5,mean_frp,max_frp,mean_confidence,persistence_score,persistence_category,bt_diff_mean,bt_diff_max,frp_mean_to_max_ratio,frp_per_observation,detection_density,active_day_ratio,is_multi_day,is_persistent_candidate,persistence_category_code,anomaly_score,anomaly_flag,abnormality_level,anomaly_characterization,explanation,contributing_factors
0,1,1,2026-08-01,2026-08-01,1,329.54,329.54,290.5,290.5,3.14,3.14,2.0,0.0333,isolated,39.04,39.04,1.0,3.14,1.0,1.0,0,0,0,-0.2096,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
1,8,2,2026-08-01,2026-08-02,2,313.59,333.41,279.761,291.28,2.259,5.27,2.0,0.0667,short_lived_repeated,33.829,42.13,0.4287,0.2824,4.0,1.0,1,0,1,-0.0453,0,ELEVATED,STATISTICAL_ANOMALY,Elevated abnormality primarily associated with unusual multi-variate statistical signature.,multivariate_combination
2,3,1,2026-08-01,2026-08-01,1,337.657,341.86,285.783,286.39,6.747,8.63,2.0,0.0333,isolated,51.874,55.47,0.7818,2.249,3.0,1.0,0,0,0,-0.1037,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
3,1,1,2026-08-01,2026-08-01,1,345.85,345.85,294.85,294.85,10.2,10.2,2.0,0.0333,isolated,51.0,51.0,1.0,10.2,1.0,1.0,0,0,0,-0.1611,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
4,1,1,2026-08-01,2026-08-01,1,335.15,335.15,296.46,296.46,4.34,4.34,2.0,0.0333,isolated,38.69,38.69,1.0,4.34,1.0,1.0,0,0,0,-0.2163,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
5,1,1,2026-08-01,2026-08-01,1,331.65,331.65,296.49,296.49,2.67,2.67,2.0,0.0333,isolated,35.16,35.16,1.0,2.67,1.0,1.0,0,0,0,-0.216,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
6,1,1,2026-08-01,2026-08-01,1,331.79,331.79,291.96,291.96,2.77,2.77,2.0,0.0333,isolated,39.83,39.83,1.0,2.77,1.0,1.0,0,0,0,-0.2129,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
7,1,1,2026-08-01,2026-08-01,1,331.46,331.46,297.29,297.29,2.48,2.48,2.0,0.0333,isolated,34.17,34.17,1.0,2.48,1.0,1.0,0,0,0,-0.2174,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
8,1,1,2026-08-01,2026-08-01,1,332.56,332.56,297.63,297.63,1.68,1.68,2.0,0.0333,isolated,34.93,34.93,1.0,1.68,1.0,1.0,0,0,0,-0.2082,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
9,1,1,2026-08-01,2026-08-01,1,341.89,341.89,298.98,298.98,10.81,10.81,2.0,0.0333,isolated,42.91,42.91,1.0,10.81,1.0,1.0,0,0,0,-0.15,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
10,1,1,2026-08-01,2026-08-01,1,330.71,330.71,295.03,295.03,1.56,1.56,2.0,0.0333,isolated,35.68,35.68,1.0,1.56,1.0,1.0,0,0,0,-0.2042,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
11,1,1,2026-08-01,2026-08-01,1,330.49,330.49,292.6,292.6,2.37,2.37,2.0,0.0333,isolated,37.89,37.89,1.0,2.37,1.0,1.0,0,0,0,-0.2154,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
12,1,1,2026-08-01,2026-08-01,1,337.74,337.74,296.45,296.45,3.22,3.22,2.0,0.0333,isolated,41.29,41.29,1.0,3.22,1.0,1.0,0,0,0,-0.213,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
13,2,1,2026-08-01,2026-08-01,1,333.69,335.48,293.655,297.07,4.515,5.38,2.0,0.0333,isolated,40.035,38.41,0.8392,2.2575,2.0,1.0,0,0,0,-0.1725,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
14,1,1,2026-08-01,2026-08-01,1,333.55,333.55,294.79,294.79,4.81,4.81,2.0,0.0333,isolated,38.76,38.76,1.0,4.81,1.0,1.0,0,0,0,-0.2144,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
15,1,1,2026-08-01,2026-08-01,1,332.62,332.62,298.08,298.08,2.46,2.46,2.0,0.0333,isolated,34.54,34.54,1.0,2.46,1.0,1.0,0,0,0,-0.2173,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
16,1,1,2026-08-01,2026-08-01,1,337.57,337.57,296.77,296.77,9.09,9.09,2.0,0.0333,isolated,40.8,40.8,1.0,9.09,1.0,1.0,0,0,0,-0.1816,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
17,1,1,2026-08-01,2026-08-01,1,335.31,335.31,299.19,299.19,2.33,2.33,2.0,0.0333,isolated,36.12,36.12,1.0,2.33,1.0,1.0,0,0,0,-0.2196,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
18,1,1,2026-08-01,2026-08-01,1,335.44,335.44,296.9,296.9,7.3,7.3,2.0,0.0333,isolated,38.54,38.54,1.0,7.3,1.0,1.0,0,0,0,-0.1954,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
19,1,1,2026-08-01,2026-08-01,1,332.54,332.54,292.43,292.43,3.02,3.02,2.0,0.0333,isolated,40.11,40.11,1.0,3.02,1.0,1.0,0,0,0,-0.2139,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
20,6,2,2026-08-01,2026-08-02,2,320.648,337.35,290.448,294.43,3.818,8.5,2.0,0.0667,short_lived_repeated,30.2,42.92,0.4492,0.6363,3.0,1.0,1,0,1,-0.0741,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
21,1,1,2026-08-01,2026-08-01,1,330.83,330.83,297.84,297.84,3.09,3.09,2.0,0.0333,isolated,32.99,32.99,1.0,3.09,1.0,1.0,0,0,0,-0.2152,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
22,16,2,2026-08-01,2026-08-02,2,340.091,356.0,293.528,298.35,9.785,23.16,1.562,0.0667,short_lived_repeated,46.563,57.65,0.4225,0.6116,8.0,1.0,1,0,1,0.1445,1,HIGH,MULTI_FACTOR_ANOMALY,High abnormality primarily associated with elevated thermal intensity and elevated thermal energy (FRP).,"max_bright_ti4,bt_diff_max,max_frp"
23,1,1,2026-08-01,2026-08-01,1,343.28,343.28,290.57,290.57,3.41,3.41,2.0,0.0333,isolated,52.71,52.71,1.0,3.41,1.0,1.0,0,0,0,-0.1797,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
24,8,3,2026-08-01,2026-08-04,4,333.188,345.09,287.976,297.73,4.962,8.32,1.875,0.1,short_lived_repeated,45.212,47.36,0.5964,0.6202,2.0,0.75,1,0,1,-0.0156,0,ELEVATED,HIGH_THERMAL_INTENSITY,Elevated abnormality primarily associated with elevated thermal intensity.,"max_bright_ti4,bt_diff_max"
25,3,2,2026-08-01,2026-08-03,3,319.883,333.15,286.187,296.08,3.62,5.76,2.0,0.0667,short_lived_repeated,33.696,37.07,0.6285,1.2067,1.0,0.6667,1,0,1,-0.1063,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
26,2,1,2026-08-01,2026-08-01,1,321.055,332.66,287.97,290.56,2.585,2.64,2.0,0.0333,isolated,33.085,42.1,0.9792,1.2925,2.0,1.0,0,0,0,-0.1748,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
27,1,1,2026-08-01,2026-08-01,1,330.26,330.26,297.37,297.37,4.02,4.02,2.0,0.0333,isolated,32.89,32.89,1.0,4.02,1.0,1.0,0,0,0,-0.2151,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
28,1,1,2026-08-01,2026-08-01,1,330.04,330.04,296.39,296.39,4.87,4.87,2.0,0.0333,isolated,33.65,33.65,1.0,4.87,1.0,1.0,0,0,0,-0.212,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
29,1,1,2026-08-01,2026-08-01,1,331.81,331.81,298.53,298.53,5.41,5.41,2.0,0.0333,isolated,33.28,33.28,1.0,5.41,1.0,1.0,0,0,0,-0.2126,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
30,1,1,2026-08-01,2026-08-01,1,337.15,337.15,293.31,293.31,6.47,6.47,2.0,0.0333,isolated,43.84,43.84,1.0,6.47,1.0,1.0,0,0,0,-0.1952,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
31,1,1,2026-08-01,2026-08-01,1,331.58,331.58,292.81,292.81,4.35,4.35,2.0,0.0333,isolated,38.77,38.77,1.0,4.35,1.0,1.0,0,0,0,-0.2138,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
32,1,1,2026-08-01,2026-08-01,1,333.21,333.21,291.71,291.71,3.44,3.44,2.0,0.0333,isolated,41.5,41.5,1.0,3.44,1.0,1.0,0,0,0,-0.2131,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
33,1,1,2026-08-01,2026-08-01,1,340.2,340.2,291.02,291.02,15.02,15.02,2.0,0.0333,isolated,49.18,49.18,1.0,15.02,1.0,1.0,0,0,0,-0.106,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
34,1,1,2026-08-01,2026-08-01,1,330.05,330.05,290.51,290.51,1.68,1.68,2.0,0.0333,isolated,39.54,39.54,1.0,1.68,1.0,1.0,0,0,0,-0.2021,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
35,2,1,2026-08-01,2026-08-01,1,333.285,333.69,291.235,291.39,2.365,2.4,2.0,0.0333,isolated,42.05,42.3,0.9854,1.1825,2.0,1.0,0,0,0,-0.1757,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
36,2,1,2026-08-01,2026-08-01,1,333.455,334.67,291.045,291.39,3.22,3.22,2.0,0.0333,isolated,42.41,43.28,1.0,1.61,2.0,1.0,0,0,0,-0.1861,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
37,1,1,2026-08-01,2026-08-01,1,341.51,341.51,288.58,288.58,7.9,7.9,2.0,0.0333,isolated,52.93,52.93,1.0,7.9,1.0,1.0,0,0,0,-0.1684,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
38,1,1,2026-08-01,2026-08-01,1,343.41,343.41,301.17,301.17,16.12,16.12,2.0,0.0333,isolated,42.24,42.24,1.0,16.12,1.0,1.0,0,0,0,-0.1061,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
39,19,3,2026-08-01,2026-08-04,4,307.875,332.4,272.451,276.01,2.285,6.33,2.0,0.1,short_lived_repeated,35.424,56.39,0.361,0.1203,4.75,0.75,1,0,1,0.0553,1,HIGH,HIGH_THERMAL_INTENSITY,High abnormality primarily associated with elevated thermal intensity.,bt_diff_max
40,7,3,2026-08-01,2026-08-03,3,322.414,347.01,282.213,293.92,4.594,9.17,2.0,0.1,short_lived_repeated,40.201,53.09,0.501,0.6563,2.3333,1.0,1,0,1,-0.0217,0,ELEVATED,HIGH_THERMAL_INTENSITY,Elevated abnormality primarily associated with elevated thermal intensity.,"max_bright_ti4,bt_diff_max"
41,3,1,2026-08-01,2026-08-01,1,306.243,310.54,285.703,290.17,1.84,3.32,2.0,0.0333,isolated,20.54,20.37,0.5542,0.6133,3.0,1.0,0,0,0,-0.0846,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
42,2,1,2026-08-01,2026-08-01,1,303.69,308.07,282.945,288.51,1.205,1.77,2.0,0.0333,isolated,20.745,19.56,0.6808,0.6025,2.0,1.0,0,0,0,-0.13,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
43,3,2,2026-08-01,2026-08-02,2,298.34,304.74,271.437,280.59,0.793,1.56,2.0,0.0667,short_lived_repeated,26.903,24.15,0.5083,0.2643,1.5,1.0,1,0,1,-0.0732,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
44,2,1,2026-08-01,2026-08-01,1,298.725,299.15,276.805,276.84,1.64,1.78,2.0,0.0333,isolated,21.92,22.31,0.9213,0.82,2.0,1.0,0,0,0,-0.1256,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
45,2,2,2026-08-01,2026-08-02,2,303.535,303.59,273.855,276.0,0.895,1.16,2.0,0.0667,short_lived_repeated,29.68,27.59,0.7716,0.4475,1.0,1.0,1,0,1,-0.1012,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
46,5,1,2026-08-01,2026-08-01,1,298.024,301.39,264.608,265.7,0.604,0.94,2.0,0.0333,isolated,33.416,35.69,0.6426,0.1208,5.0,1.0,0,0,0,-0.0234,0,ELEVATED,STATISTICAL_ANOMALY,Elevated abnormality primarily associated with unusual multi-variate statistical signature.,multivariate_combination
47,2,1,2026-08-01,2026-08-01,1,297.055,298.63,264.935,265.9,0.815,0.87,2.0,0.0333,isolated,32.12,32.73,0.9368,0.4075,2.0,1.0,0,0,0,-0.1202,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
48,3,1,2026-08-01,2026-08-01,1,297.733,299.53,267.573,268.11,1.19,1.59,2.0,0.0333,isolated,30.16,31.42,0.7484,0.3967,3.0,1.0,0,0,0,-0.1038,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
49,10,3,2026-08-01,2026-08-03,3,302.813,330.47,270.234,295.78,1.087,2.61,2.0,0.1,short_lived_repeated,32.579,34.69,0.4165,0.1087,3.3333,1.0,1,0,1,-0.0155,0,ELEVATED,STATISTICAL_ANOMALY,Elevated abnormality primarily associated with unusual multi-variate statistical signature.,multivariate_combination
50,12,3,2026-08-01,2026-08-03,3,311.638,347.93,273.323,298.4,2.38,5.9,2.0,0.1,short_lived_repeated,38.315,49.53,0.4034,0.1983,4.0,1.0,1,0,1,-0.005,0,ELEVATED,HIGH_THERMAL_INTENSITY,Elevated abnormality primarily associated with elevated thermal intensity.,"max_bright_ti4,bt_diff_max"
51,3,1,2026-08-01,2026-08-01,1,309.18,312.65,278.57,286.19,2.183,2.23,2.0,0.0333,isolated,30.61,26.46,0.9789,0.7277,3.0,1.0,0,0,0,-0.1269,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
52,2,1,2026-08-01,2026-08-01,1,306.715,311.85,276.525,277.33,1.29,1.4,2.0,0.0333,isolated,30.19,34.52,0.9214,0.645,2.0,1.0,0,0,0,-0.1509,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
53,20,2,2026-08-01,2026-08-02,2,303.367,308.72,274.958,283.45,1.17,2.03,2.0,0.0667,short_lived_repeated,28.409,25.27,0.5764,0.0585,10.0,1.0,1,0,1,0.0642,1,HIGH,STATISTICAL_ANOMALY,High abnormality primarily associated with unusual multi-variate statistical signature.,multivariate_combination
54,7,2,2026-08-01,2026-08-02,2,305.159,310.82,277.497,279.94,1.199,1.63,2.0,0.0667,short_lived_repeated,27.662,30.88,0.7356,0.1713,3.5,1.0,1,0,1,-0.0351,0,ELEVATED,STATISTICAL_ANOMALY,Elevated abnormality primarily associated with unusual multi-variate statistical signature.,multivariate_combination
55,4,2,2026-08-01,2026-08-02,2,304.85,311.71,272.888,275.43,1.488,2.09,2.0,0.0667,short_lived_repeated,31.962,36.28,0.712,0.372,2.0,1.0,1,0,1,-0.1124,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
56,1,1,2026-08-01,2026-08-01,1,301.25,301.25,275.98,275.98,0.69,0.69,2.0,0.0333,isolated,25.27,25.27,1.0,0.69,1.0,1.0,0,0,0,-0.1762,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
57,2,1,2026-08-01,2026-08-01,1,308.465,310.45,268.915,273.46,1.565,2.08,2.0,0.0333,isolated,39.55,36.99,0.7524,0.7825,2.0,1.0,0,0,0,-0.1384,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
58,16,2,2026-08-01,2026-08-02,2,308.116,324.58,275.774,287.52,1.871,3.93,2.0,0.0667,short_lived_repeated,32.342,37.06,0.4761,0.1169,8.0,1.0,1,0,1,0.0241,1,HIGH,STATISTICAL_ANOMALY,High abnormality primarily associated with unusual multi-variate statistical signature.,multivariate_combination
59,4,1,2026-08-01,2026-08-01,1,310.992,315.68,285.962,286.17,1.808,2.23,2.0,0.0333,isolated,25.03,29.51,0.8108,0.452,4.0,1.0,0,0,0,-0.1062,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
60,6,1,2026-08-01,2026-08-01,1,321.247,335.43,284.973,290.58,5.528,8.97,2.0,0.0333,isolated,36.274,44.85,0.6163,0.9213,6.0,1.0,0,0,0,-0.032,0,ELEVATED,STATISTICAL_ANOMALY,Elevated abnormality primarily associated with unusual multi-variate statistical signature.,multivariate_combination
61,1,1,2026-08-01,2026-08-01,1,307.01,307.01,279.2,279.2,5.14,5.14,2.0,0.0333,isolated,27.81,27.81,1.0,5.14,1.0,1.0,0,0,0,-0.1767,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
62,5,2,2026-08-01,2026-08-02,2,305.462,331.55,266.148,293.67,1.348,4.03,1.8,0.0667,short_lived_repeated,39.314,37.88,0.3345,0.2696,2.5,1.0,1,0,1,-0.0261,0,ELEVATED,STATISTICAL_ANOMALY,Elevated abnormality primarily associated with unusual multi-variate statistical signature.,multivariate_combination
63,5,2,2026-08-01,2026-08-02,2,307.662,325.52,276.81,282.96,2.508,3.14,2.0,0.0667,short_lived_repeated,30.852,42.56,0.7987,0.5016,2.5,1.0,1,0,1,-0.0869,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
64,1,1,2026-08-01,2026-08-01,1,306.7,306.7,288.39,288.39,1.74,1.74,2.0,0.0333,isolated,18.31,18.31,1.0,1.74,1.0,1.0,0,0,0,-0.1939,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
65,4,2,2026-08-01,2026-08-02,2,306.955,324.08,276.882,287.81,1.777,3.27,2.0,0.0667,short_lived_repeated,30.073,36.27,0.5434,0.4442,2.0,1.0,1,0,1,-0.1018,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
66,4,2,2026-08-01,2026-08-02,2,305.482,316.45,276.71,287.92,2.065,3.12,2.0,0.0667,short_lived_repeated,28.772,28.53,0.6619,0.5162,2.0,1.0,1,0,1,-0.1108,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
67,3,1,2026-08-01,2026-08-01,1,300.91,301.41,279.41,280.03,1.157,1.37,2.0,0.0333,isolated,21.5,21.38,0.8445,0.3857,3.0,1.0,0,0,0,-0.1024,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
68,3,2,2026-08-01,2026-08-02,2,301.493,308.85,277.29,286.83,1.787,2.11,2.0,0.0667,short_lived_repeated,24.203,22.02,0.8469,0.5957,1.5,1.0,1,0,1,-0.1265,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
69,1,1,2026-08-01,2026-08-01,1,297.43,297.43,275.45,275.45,1.41,1.41,2.0,0.0333,isolated,21.98,21.98,1.0,1.41,1.0,1.0,0,0,0,-0.1696,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
70,4,2,2026-08-01,2026-08-02,2,310.378,319.83,275.942,285.46,1.878,2.4,2.0,0.0667,short_lived_repeated,34.436,34.37,0.7825,0.4695,2.0,1.0,1,0,1,-0.1177,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
71,1,1,2026-08-01,2026-08-01,1,308.15,308.15,288.68,288.68,2.56,2.56,2.0,0.0333,isolated,19.47,19.47,1.0,2.56,1.0,1.0,0,0,0,-0.1857,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
72,3,3,2026-08-01,2026-08-05,5,305.28,313.02,282.217,285.42,1.057,1.61,2.0,0.1,short_lived_repeated,23.063,27.6,0.6565,0.3523,0.6,0.6,1,0,1,-0.065,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
73,2,2,2026-08-01,2026-08-02,2,303.68,306.3,278.795,280.54,1.08,1.33,2.0,0.0667,short_lived_repeated,24.885,25.76,0.812,0.54,1.0,1.0,1,0,1,-0.1155,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
74,3,1,2026-08-01,2026-08-01,1,306.067,311.21,276.2,281.95,0.997,1.55,2.0,0.0333,isolated,29.867,29.26,0.6432,0.3323,3.0,1.0,0,0,0,-0.1111,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
75,2,1,2026-08-01,2026-08-01,1,306.51,307.49,289.9,290.19,0.975,1.18,2.0,0.0333,isolated,16.61,17.3,0.8263,0.4875,2.0,1.0,0,0,0,-0.137,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
76,16,4,2026-08-01,2026-08-04,4,317.999,338.42,287.164,296.35,3.221,8.52,2.0,0.1333,short_lived_repeated,30.835,42.07,0.3781,0.2013,4.0,1.0,1,0,1,0.0164,1,HIGH,PERSISTENT_THERMAL_ACTIVITY,High abnormality primarily associated with persistent multi-day activity.,active_days
77,2,2,2026-08-01,2026-08-03,3,319.25,330.95,293.415,298.44,2.57,4.43,2.0,0.0667,short_lived_repeated,25.835,32.51,0.5801,1.285,0.6667,0.6667,1,0,1,-0.0838,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
78,1,1,2026-08-01,2026-08-01,1,303.97,303.97,289.74,289.74,1.13,1.13,2.0,0.0333,isolated,14.23,14.23,1.0,1.13,1.0,1.0,0,0,0,-0.1793,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
79,6,2,2026-08-01,2026-08-04,4,308.497,323.77,285.562,292.06,1.452,1.76,2.0,0.0667,short_lived_repeated,22.935,31.71,0.825,0.242,1.5,0.5,1,0,1,-0.0544,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
80,1,1,2026-08-01,2026-08-01,1,309.08,309.08,290.5,290.5,0.81,0.81,2.0,0.0333,isolated,18.58,18.58,1.0,0.81,1.0,1.0,0,0,0,-0.1856,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
81,3,2,2026-08-01,2026-08-02,2,302.187,305.82,276.263,286.26,0.957,1.46,2.0,0.0667,short_lived_repeated,25.924,19.56,0.6555,0.319,1.5,1.0,1,0,1,-0.0987,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
82,1,1,2026-08-01,2026-08-01,1,308.68,308.68,288.46,288.46,2.0,2.0,2.0,0.0333,isolated,20.22,20.22,1.0,2.0,1.0,1.0,0,0,0,-0.1913,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
83,1,1,2026-08-01,2026-08-01,1,304.85,304.85,285.92,285.92,0.62,0.62,2.0,0.0333,isolated,18.93,18.93,1.0,0.62,1.0,1.0,0,0,0,-0.1817,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
84,1,1,2026-08-01,2026-08-01,1,304.84,304.84,285.07,285.07,0.76,0.76,2.0,0.0333,isolated,19.77,19.77,1.0,0.76,1.0,1.0,0,0,0,-0.185,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
85,1,1,2026-08-01,2026-08-01,1,309.17,309.17,287.7,287.7,1.78,1.78,2.0,0.0333,isolated,21.47,21.47,1.0,1.78,1.0,1.0,0,0,0,-0.1976,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
86,1,1,2026-08-01,2026-08-01,1,314.24,314.24,284.48,284.48,1.63,1.63,2.0,0.0333,isolated,29.76,29.76,1.0,1.63,1.0,1.0,0,0,0,-0.1982,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
87,1,1,2026-08-01,2026-08-01,1,296.12,296.12,263.96,263.96,0.25,0.25,2.0,0.0333,isolated,32.16,32.16,1.0,0.25,1.0,1.0,0,0,0,-0.1448,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
88,1,1,2026-08-01,2026-08-01,1,301.63,301.63,283.49,283.49,0.32,0.32,2.0,0.0333,isolated,18.14,18.14,1.0,0.32,1.0,1.0,0,0,0,-0.1656,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
89,1,1,2026-08-01,2026-08-01,1,330.43,330.43,291.41,291.41,2.43,2.43,2.0,0.0333,isolated,39.02,39.02,1.0,2.43,1.0,1.0,0,0,0,-0.2108,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
90,1,1,2026-08-01,2026-08-01,1,307.7,307.7,291.34,291.34,1.81,1.81,2.0,0.0333,isolated,16.36,16.36,1.0,1.81,1.0,1.0,0,0,0,-0.1871,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
91,1,1,2026-08-01,2026-08-01,1,314.74,314.74,288.05,288.05,1.15,1.15,2.0,0.0333,isolated,26.69,26.69,1.0,1.15,1.0,1.0,0,0,0,-0.1924,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
